iter	Passed	Remaining
403	6037	8906
404	6051	8890
405	6064	8872
406	6077	8855
407	6089	8836
408	6103	8819
409	6116	8801
410	6129	8784
411	6144	8769
412	6157	8752
413	6169	8733
414	6183	8716
415	6196	8698
416	6210	8682
417	6224	8666
418	6236	8648
419	6249	8629
420	6261	8611
421	6275	8595
422	6289	8579
423	6302	8562
424	6316	8546
425	6329	8528
426	6342	8510
427	6353	8491
428	6366	8473
429	6380	8458
430	6394	8441
431	6406	8423
432	6421	8408
433	6434	8391
434	6448	8375
435	6462	8359
436	6474	8341
437	6487	8324
438	6500	8307
439	6514	8290
440	6527	8273
441	6539	8255
442	6552	8239
443	6566	8222
444	6579	8206
445	6593	8190
446	6607	8174
447	6621	8158
448	6634	8141
449	6647	8124
450	6658	8105
451	6672	8089
452	6685	8072
453	6700	8058
454	6713	8041
455	6727	8025
456	6739	8007
457	6752	7990
458	6766	7975
459	6778	7957
460	6792	7941
461	6805	7925
462	6820	7910
463	6835	7896
464	6848	7879
465	6862	7864
466	6877	7849
467	6892	7834
468	6905	7818
469	6920	7803
470	6933	7787
471	6947	7771
472	6960	7754
473	6973	7738
474	6987	7723
475	7001	7707
476	7015	7691
477	7028	7675
478	7042	7659
479	7055	7643
480	7070	7628
481	7084	7613
482	7098	7598
483	7112	7582
484	7126	7566
485	7139	7551
486	7154	7536
487	7167	7520
488	7182	7505
489	7195	7489
490	7208	7472
491	7222	7457
492	7235	7441
493	7250	7426
494	7263	7409
495	7276	7393
496	7291	7379
497	7305	7364
498	7320	7349
499	7334	7334
500	7347	7318
501	7361	7302
502	7374	7286
503	7385	7268
504	7399	7253
505	7413	7237
506	7428	7223
507	7442	7207
508	7455	7192
509	7469	7176
510	7483	7161
511	7498	7146
512	7510	7129
513	7525	7115
514	7539	7100
515	7549	7081
516	7563	7066
517	7575	7049
518	7589	7033
519	7602	7017
520	7614	7000
521	7628	6985
522	7641	6969
523	7653	6952
524	7666	6936
525	7679	6920
526	7694	6905
527	7707	6889
528	7719	6872
529	7732	6857
530	7745	6840
531	7758	6825
532	7773	6810
533	7785	6793
534	7797	6777
535	7810	6761
536	7824	6746
537	7837	6730
538	7851	6714
539	7864	6699
540	7876	6682
541	7891	6668
542	7903	6652
543	7917	6636
544	7931	6621
545	7944	6605
546	7956	6589
547	7971	6574
548	7984	6559
549	7998	6544
550	8011	6528
551	8024	6512
552	8038	6497
553	8050	6481
554	8064	6465
555	8076	6449
556	8090	6435
557	8104	6419
558	8117	6404
559	8130	6388
560	8143	6372
561	8156	6357
562	8170	6342
563	8184	6327
564	8196	6310
565	8209	6294
566	8222	6278
567	8236	6264
568	8250	6249
569	8262	6233
570	8275	6217
571	8288	6202
572	8301	6186
573	8315	6171
574	8326	6154
575	8340	6139
576	8353	6123
577	8366	6108
578	8380	6093
579	8392	6077
580	8405	6062
581	8417	6045
582	8430	6029
583	8442	6013
584	8455	5998
585	8469	5983
586	8482	5968
587	8494	5951
588	8506	5935
589	8519	5920
590	8533	5905
591	8548	5891
592	8559	5874
593	8573	5859
594	8583	5842
595	8596	5826
596	8609	5811
597	8622	5796
598	8635	5780
599	8647	5765
600	8659	5749
601	8672	5733
602	8686	5718
603	8700	5704
604	8713	5688
605	8725	5673
606	8739	5658
607	8751	5642
608	8765	5627
609	8779	5613
610	8792	5597
611	8805	5582
612	8818	5567
613	8830	5551
614	8843	5536
615	8856	5520
616	8870	5506
617	8882	5490
618	8896	5475
619	8911	5461
620	8924	5446
621	8938	5431
622	8952	5417
623	8965	5402
624	8978	5387
625	8992	5372
