iter	Logloss
0	0.6018173585
1	0.5281922638
2	0.4531335729
3	0.3921317927
4	0.3557526136
5	0.3313638263
6	0.3096950137
7	0.2904553659
8	0.2729979731
9	0.2584682298
10	0.242286755
11	0.2299314996
12	0.2190786908
13	0.2077444952
14	0.2021986786
15	0.1958335812
16	0.1917574336
17	0.1875629407
18	0.1841533883
19	0.1810622836
20	0.1781432229
21	0.1732054275
22	0.1710468398
23	0.1687983549
24	0.1660113788
25	0.1626701176
26	0.160925273
27	0.1591288582
28	0.1569390794
29	0.1550713121
30	0.1533619876
31	0.1517090542
32	0.1481802068
33	0.1463498607
34	0.1450031332
35	0.1439246772
36	0.1426736506
37	0.1415869998
38	0.1407873664
39	0.1398891282
40	0.1385667306
41	0.1378141878
42	0.1359270855
43	0.1350541173
44	0.1340259672
45	0.1333488514
46	0.1327040224
47	0.1318604438
48	0.1308281504
49	0.1302417522
50	0.1297222206
51	0.1288932054
52	0.1281813198
53	0.1265157241
54	0.1260174303
55	0.1253648883
56	0.1248265743
57	0.1241388064
58	0.1234357055
59	0.1229617286
60	0.1223751885
61	0.1216928297
62	0.1212711201
63	0.1208230146
64	0.1204377916
65	0.1198299018
66	0.118913316
67	0.1184713275
68	0.1177744029
69	0.11730359
70	0.1171487033
71	0.1165470734
72	0.1160610698
73	0.1157463548
74	0.1154282599
75	0.1150063476
76	0.1146145033
77	0.1141817822
78	0.1138173443
79	0.1125072688
80	0.111983626
81	0.1117464146
82	0.1113801345
83	0.1108871807
84	0.1105461939
85	0.1099960283
86	0.1096043706
87	0.1090110979
88	0.1087407452
89	0.1085116138
90	0.1081790588
91	0.1077663693
92	0.1075885119
93	0.1072158532
94	0.1069243642
95	0.1065977005
96	0.1063850659
97	0.1061929163
98	0.105959786
99	0.1056164281
100	0.105310489
101	0.105113071
102	0.1048753124
103	0.1043263041
104	0.104116477
105	0.1037466371
106	0.1034393706
107	0.1031981943
108	0.1030769003
109	0.1029629687
110	0.1025184865
111	0.1018775004
112	0.1016391865
113	0.1014211678
114	0.1013364643
115	0.1011787986
116	0.1010960265
117	0.1009436871
118	0.1006325259
119	0.1004911801
120	0.1002628148
121	0.1000753431
122	0.0999675837
123	0.09985369836
124	0.09976183467
125	0.09963459805
126	0.09925270716
127	0.09854723647
128	0.09804158996
129	0.09780256353
130	0.09766022244
131	0.09753913575
132	0.09738128177
133	0.09726847206
134	0.0969202065
135	0.09682388923
136	0.09675003095
137	0.09665254306
138	0.09638286898
139	0.09634474344
140	0.09624301577
141	0.09601535872
142	0.09568953667
143	0.0955874622
144	0.09546576737
145	0.09523306213
146	0.09505190015
147	0.09492863543
148	0.09492789638
149	0.09485258369
150	0.09452077571
151	0.09447659602
152	0.0944344135
153	0.09421149399
154	0.09415308285
155	0.09402254122
156	0.09393045776
157	0.09372108694
158	0.09363450163
159	0.09341437792
160	0.093040989
161	0.09287871728
162	0.09276290451
163	0.09248199824
164	0.09248148862
165	0.09228808006
166	0.09209977951
167	0.09191724511
168	0.09184418333
169	0.09174990111
170	0.09159357815
171	0.09149160116
172	0.09141930784
173	0.09128689188
174	0.09122583175
175	0.09095485909
176	0.09084950147
177	0.09075694362
178	0.09070005087
179	0.0906091266
180	0.09051675941
181	0.09045769068
182	0.09036430785
183	0.09024586125
184	0.08985366568
185	0.08973830104
186	0.0896080971
187	0.08935887297
188	0.08922157252
189	0.08907665273
190	0.0889934634
191	0.08891371026
192	0.08886532193
193	0.08878807211
194	0.08846823198
195	0.08828561593
196	0.08788882914
197	0.08775017841
198	0.08763596584
199	0.08739332564
200	0.08733097545
201	0.08724109854
202	0.08713143498
203	0.0869940614
204	0.08684093124
205	0.08681382421
206	0.08670062622
207	0.0866754044
208	0.08659323378
209	0.08653699126
210	0.08645210996
211	0.08636576524
212	0.08632748536
213	0.08622193698
214	0.08592555454
215	0.08583975339
216	0.08578320086
217	0.08530740336
218	0.08525823458
219	0.08513606902
220	0.08506477577
221	0.08494097907
222	0.08484600639
223	0.08473158156
224	0.08466820621
225	0.08456113003
226	0.08445611485
227	0.0842733089
228	0.08422411096
229	0.08407522472
230	0.08397400704
231	0.08384624854
232	0.08377182292
233	0.0837313475
234	0.08364773328
235	0.08355088712
236	0.08351744087
237	0.08343438334
238	0.08337946434
239	0.08333527655
240	0.08327043221
241	0.08316860681
242	0.08305112466
243	0.08298121152
244	0.08296074152
245	0.08279914693
246	0.08269249028
247	0.08261449348
248	0.08251559658
249	0.08243488551
250	0.08237634752
251	0.08228358644
252	0.08220891335
253	0.08212623348
254	0.08208798978
255	0.08201380425
256	0.08183897698
257	0.08178460414
258	0.08172166779
259	0.08167819795
260	0.08148680046
261	0.08143774223
262	0.08136241414
263	0.08132263339
264	0.0812610091
265	0.08125044318
